State,Site.ID,Latitude,Longitude,Region,Year,Number.infected,Total.samples,Prevalence,Impervious.Surf_1km,Impervious.Surf_2.5km,open_1km,low_1km,med_1km,high_1km,open_2.5km,low_2.5km,med_2.5km,high_2.5km
MI,30,43.53967,-84.32117,NorthernUS,2011-2012,0,28,0,0.974806756,0.753322335,0.056684798,0.012882909,0,0,0.044679681,0.008294382,0.000504078,0.000549904
WI,36,45.78249,-88.00878,NorthernUS,2011-2012,6,109,0.055045872,15.01889493,7.039730547,0.391640424,0.150586888,0.087317492,0.020326367,0.158555586,0.071945743,0.036522775,0.015672257
PA,40,40.16508,-79.56785,NorthernUS,2011-2012,3,30,0.1,6.419696536,10.88140409,0.118809047,0.093043229,0.040652734,0.002004008,0.094995876,0.136421959,0.061726698,0.022546054
NJ,44,39.96637,-74.82928,NorthernUS,2011-2012,8,75,0.106666667,17.92327512,15.01984236,0.220154595,0.320068709,0.081591755,0,0.194070204,0.168957932,0.083493722,0.03061131
KS,45,38.97306,-95.23653,NorthernUS,2011-2012,2,12,0.166666667,36.71314057,27.31115388,0.13312339,0.407672488,0.208989407,0.093329516,0.202318761,0.346118596,0.155897718,0.047933278
MI,48,42.35274,-85.74326,NorthernUS,2011-2012,2,44,0.045454545,0.676782136,0.54665017,0.024334383,0.015745777,0,0,0.030886262,0.00801943,0.001283109,0
PA,49,40.54208,-76.95444,NorthernUS,2011-2012,1,19,0.052631579,24.57142857,6.325680506,0.15774406,0.320927569,0.169195534,0.01460063,0.095133352,0.095225002,0.034552287,0.002657868
MI,60,36.01731,-84.25258,NorthernUS,2011-2012,8,26,0.307692308,47.73547094,31.73233434,0.135413685,0.396793587,0.318350988,0.140280561,0.213225186,0.307121254,0.199065164,0.077536431
NY,61,42.45167,-79.26492,NorthernUS,2011-2012,0,8,0,0.452333238,1.019429933,0.043515603,0,0,0,0.050132893,0.012968564,0.00146641,0.000366603
NJ,62,40.38997,-74.7634,NorthernUS,2011-2012,2,22,0.090909091,9.807328944,2.431491156,0.332951618,0.148010306,0.04466075,0,0.116808725,0.032444322,0.010081569,0
VA,63,37.1331902,-81.526741,NorthernUS,2011-2012,0,6,0,13.89206985,8.331133718,0.063269396,0.117663899,0.132264529,0.014314343,0.098432774,0.065530199,0.076299148,0.005499038
MN,66,47.80246,-96.61149,NorthernUS,2011-2012,1,30,0.033333333,9.789292871,7.149711301,0.150873175,0.158889207,0.043229316,0.006012024,0.124003299,0.114563285,0.023508386,0.009440015
MN,67,44.94837,-93.37926,NorthernUS,2011-2012,0,18,0,37.43801889,37.2778847,0.254509018,0.448611509,0.230747209,0.048955053,0.249106406,0.389240216,0.201952158,0.09270461
WI,69,44.17404,-88.06431,NorthernUS,2011-2012,2,19,0.105263158,29.76667621,7.671661626,0.117091326,0.400229029,0.151445749,0.06012024,0.062551553,0.107002108,0.035056365,0.015718083
WI,71,46.17024,-89.29631,NorthernUS,2011-2012,0,19,0,0.131691955,0.421317936,0.046092184,0,0,0,0.03725598,0.003345248,0.000733205,0.001328934
VA,79,38.92081,-77.39748,NorthernUS,2011-2012,0,30,0,17.37847123,18.84034461,0.385914687,0.422845691,0.008588606,0,0.380625057,0.35400055,0.05769407,0.00655302
NY,80,41.2614784,-73.6873474,NorthernUS,2011-2012,1,7,0.142857143,15.57973089,8.288653652,0.289722302,0.114801031,0.083595763,0.053535643,0.209009257,0.05251581,0.058473101,0.020575566
WI,82,44.37793,-89.76145,NorthernUS,2011-2012,2,43,0.046511628,8.260234755,5.183896985,0.141425709,0.172630976,0.016318351,0.008016032,0.115479791,0.116258821,0.007881954,0.002382916
VA,83,37.10511,-80.68673,NorthernUS,2011-2012,0,29,0,26.7646722,14.22825589,0.190094475,0.332665331,0.144574864,0.057543659,0.170103565,0.171386674,0.071029237,0.028365869
IL,85,42.05735,-87.6898,NorthernUS,2011-2012,6,28,0.214285714,47.50558259,33.8902942,0.065845978,0.548525623,0.241626109,0.136272545,0.064109614,0.51603886,0.142195949,0.07744478
WI,89,44.28018,-88.41833,NorthernUS,2011-2012,1,30,0.033333333,50.30146006,46.52442489,0.01545949,0.608645863,0.263097624,0.112797023,0.070937586,0.522958482,0.250572816,0.118641738
IA,90,42.6027,-91.9143,NorthernUS,2011-2012,11,148,0.074324324,1.595762954,2.939923013,0.104780991,0.016318351,0.001717721,0,0.070754285,0.047887453,0.008890111,0.003574374
PA,96,40.11127,-75.56791,NorthernUS,2011-2012,5,33,0.151515152,2.099627827,5.104115113,0.238190667,0.018894933,0,0,0.230363853,0.062551553,0.021812849,0.001603886
NJ,12,38.93547,-74.92137,NorthernUS,2012-2013,1,27,0.037037037,35.34554824,13.9339199,0.043229316,0.29258517,0.269395935,0.081019181,0.079965173,0.136605261,0.093758592,0.02767849
NC,15,35.9952698,-78.8960114,NorthernUS,2012-2013,2,5,0.4,56.05697109,33.34405646,0.081591755,0.315201832,0.414543372,0.18866304,0.358766383,0.363944643,0.196223994,0.063009807
MN,21,47.49091,-92.46304,NorthernUS,2012-2013,1,14,0.071428571,15.34383052,3.677893869,0.113083309,0.146006298,0.115087317,0.026338391,0.034094034,0.033360829,0.025662176,0.008615159
NC,22,36.06536,-79.84048,NorthernUS,2012-2013,2,28,0.071428571,40.0260521,39.6757859,0.285427999,0.38648726,0.182078443,0.143429717,0.278068005,0.389881771,0.183622033,0.141004491
OH,27,41.53891,-81.44326,NorthernUS,2012-2013,9,54,0.166666667,38.44403092,26.92626707,0.269682222,0.380188949,0.234182651,0.095619811,0.296764733,0.363944643,0.111767941,0.056044359
MI,30,43.53967,-84.32117,NorthernUS,2012-2013,8,25,0.32,0.974806756,0.753322335,0.056684798,0.012882909,0,0,0.044679681,0.008294382,0.000504078,0.000549904
MI,33,42.58795,-83.5879,NorthernUS,2012-2013,3,16,0.1875,20.2330375,13.72880579,0.29716576,0.27712568,0.104208417,0.026624678,0.388919439,0.179360279,0.057144166,0.01897168
MI,34,42.77417,-82.93223,NorthernUS,2012-2013,1,13,0.076923077,1.503292299,1.280221795,0.09934154,0.02547953,0,0,0.055906883,0.028320044,0.000274952,0
MI,37,45.72199,-86.97634,NorthernUS,2012-2013,40,81,0.49382716,0.945032923,0.475804234,0.054108216,0.013455482,0.002290295,0,0.033452479,0.006323893,0.000366603,0.000320777
PA,40,40.16508,-79.56785,NorthernUS,2012-2013,20,117,0.170940171,6.419696536,10.88140409,0.118809047,0.093043229,0.040652734,0.002004008,0.094995876,0.136421959,0.061726698,0.022546054
PA,46,40.00347,-76.35656,NorthernUS,2012-2013,5,59,0.084745763,25.54194102,12.0407387,0.358431148,0.363298025,0.152877183,0.010878901,0.256071854,0.191870589,0.054440473,0.005132435
