"ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"Enterobacter sp.","Enterobacter sp.","no","valid name in NCBI","","NCBI 547","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Enterobacter","Enterobacter sp.","no","valid name in NCBI","","NCBI 547","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Enterobacter spp.","Enterobacter sp.","no","valid name in NCBI","","NCBI 547","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Enterobius anthropopitheci","Enterobius anthropopitheci","yes","valid name in NCBI","","NCBI 378215","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius bipapillatus","Enterobius bipapillatus","yes","valid in papers","","Bolette, D. P., Cui, L., & Rogers, M. B. ","Bolette, D. P., Cui, L., & Rogers, M. B. (2016). Enterobius (Enterobius) shriveri n. sp.(Nematoda: Oxyuridae: Enterobiinae) from Macaca fascicularis Raffles, 1821 (Primates: Cercopithecidae: Cercopithecinae) and Three Other Cercopitheciid Primate Species: With Additional Information on Enterobius (Enterobius) macaci Yen, 1973.†Comparative Parasitology,†83(1), 54-73.","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius cf. brevicauda","Enterobius brevicauda","yes","valid in papers","","Bolette, D. P., Cui, L., & Rogers, M. B. ","Bolette, D. P., Cui, L., & Rogers, M. B. (2016). Enterobius (Enterobius) shriveri n. sp.(Nematoda: Oxyuridae: Enterobiinae) from Macaca fascicularis Raffles, 1821 (Primates: Cercopithecidae: Cercopithecinae) and Three Other Cercopitheciid Primate Species: With Additional Information on Enterobius (Enterobius) macaci Yen, 1973.†Comparative Parasitology,†83(1), 54-73.","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius brevicauda","Enterobius brevicauda","yes","valid in papers","","Bolette, D. P., Cui, L., & Rogers, M. B. ","Bolette, D. P., Cui, L., & Rogers, M. B. (2016). Enterobius (Enterobius) shriveri n. sp.(Nematoda: Oxyuridae: Enterobiinae) from Macaca fascicularis Raffles, 1821 (Primates: Cercopithecidae: Cercopithecinae) and Three Other Cercopitheciid Primate Species: With Additional Information on Enterobius (Enterobius) macaci Yen, 1973.†Comparative Parasitology,†83(1), 54-73.","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius buckleyi","Enterobius buckleyi","yes","valid name in NCBI","","NCBI 882684","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius callithricis","Enterobius callithricis","yes","valid in USNM","","USNM 1357274","http://collections.si.edu/search/record/nmnhinvertebratezoology_12011576","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius lerouxi","Enterobius lerouxi","yes","valid in papers","","Morand et al 1996","Morand, S., Legendre, P., Gardner, S. L., & Hugot, J. P. (1996). Body size evolution of oxyurid (Nematoda) parasites: the role of hosts.†Oecologia,†107(2), 274-282.","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius macaci","Enterobius macaci","yes","valid name in NCBI","","NCBI 1008421","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius sp.","Enterobius sp.","no","valid name in NCBI","","NCBI 51027","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius","Enterobius sp.","no","valid name in NCBI","","NCBI 51027","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius spp.","Enterobius sp.","no","valid name in NCBI","","NCBI 51027","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Threadworms","Enterobius sp.","no","refers to any member of genus","","","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyurida",""
"Enterobius cf. vermicularis","Enterobius vermicularis","yes","valid name in NCBI","","NCBI 51028","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterobius vermicularis","Enterobius vermicularis","yes","valid name in NCBI","","NCBI 51028","","Helminth","Nematoda","Secernentea","Oxyurida","Oxyuridae",""
"Enterococcus casseliflavus","Enterococcus casseliflavus","yes","valid name in NCBI","","NCBI 37734","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Enterococcus faecalis","Enterococcus faecalis","yes","valid name in NCBI","","NCBI 1351","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Streptococcus faecalis","Enterococcus faecalis","yes","valid name in NCBI, S faecalis is a synonym","","NCBI 1351","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",""
"Streptococcus faecalis","Enterococcus faecalis","yes","valid name in NCBI, S faecalis is a synonym","","NCBI 1351","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Enterococcus faecium","Enterococcus faecium","yes","valid name in NCBI","","NCBI 1352","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",""
"Streptococcus faecium","Enterococcus faecium","yes","valid name in NCBI, S faecium is a synonym","","NCBI 1352","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",""
